CustomerID,Gender,Age,AnnualIncome(k$),SpendingScore(1-100),ShoppingFrequency(per month),PreferredDevice,Region,Cluster,Cluster_Label
1,Male,42,99,80,15,Tablet,East,1,High Spenders
2,Male,56,33,73,7,Desktop,West,0,Budget Shoppers
3,Female,47,146,13,1,Tablet,West,1,High Spenders
4,Male,51,75,10,3,Mobile,West,1,High Spenders
5,Male,34,86,69,12,Tablet,South,1,High Spenders
6,Male,53,139,28,15,Desktop,West,1,High Spenders
7,Male,18,69,65,6,Tablet,West,3,Loyal Customers
8,Male,61,48,34,13,Desktop,East,1,High Spenders
9,Female,64,136,17,15,Tablet,South,1,High Spenders
10,Male,25,77,45,7,Desktop,East,3,Loyal Customers
11,Male,61,136,9,13,Desktop,West,1,High Spenders
12,Male,52,119,32,11,Desktop,South,1,High Spenders
13,Male,35,63,48,14,Tablet,East,1,High Spenders
14,Male,59,39,37,12,Desktop,West,1,High Spenders
15,Male,39,39,21,13,Tablet,North,1,High Spenders
16,Male,25,125,57,4,Mobile,East,2,Occasional Buyers
17,Female,36,105,70,5,Mobile,South,0,Budget Shoppers
18,Male,45,123,91,3,Desktop,East,0,Budget Shoppers
19,Female,28,120,39,13,Tablet,East,1,High Spenders
20,Female,47,134,79,12,Desktop,East,1,High Spenders
21,Male,18,28,84,2,Tablet,North,3,Loyal Customers
22,Male,64,40,68,7,Tablet,South,0,Budget Shoppers
23,Female,64,30,2,14,Mobile,South,1,High Spenders
24,Female,34,118,86,1,Tablet,South,0,Budget Shoppers
25,Female,50,101,71,14,Tablet,West,1,High Spenders
26,Male,29,42,39,8,Desktop,South,3,Loyal Customers
27,Male,50,78,85,4,Desktop,South,0,Budget Shoppers
28,Female,24,64,14,4,Tablet,North,3,Loyal Customers
29,Male,58,63,18,14,Mobile,West,1,High Spenders
30,Male,37,129,34,15,Desktop,West,1,High Spenders
31,Female,58,50,15,8,Desktop,East,1,High Spenders
32,Male,50,123,14,6,Mobile,West,1,High Spenders
33,Female,56,61,96,5,Desktop,West,0,Budget Shoppers
34,Female,30,86,71,14,Tablet,North,1,High Spenders
35,Female,27,133,20,13,Tablet,South,2,Occasional Buyers
36,Male,41,78,35,14,Tablet,West,1,High Spenders
37,Female,28,34,37,4,Desktop,West,3,Loyal Customers
38,Male,52,128,78,4,Desktop,North,0,Budget Shoppers
39,Female,51,40,27,1,Desktop,West,3,Loyal Customers
40,Male,18,27,92,11,Desktop,West,3,Loyal Customers
41,Female,56,18,44,4,Tablet,North,3,Loyal Customers
42,Female,38,38,27,7,Mobile,East,3,Loyal Customers
43,Male,49,75,88,6,Tablet,East,0,Budget Shoppers
44,Male,19,57,82,5,Desktop,West,3,Loyal Customers
45,Male,25,119,34,14,Tablet,West,2,Occasional Buyers
46,Male,41,139,65,2,Mobile,South,0,Budget Shoppers
47,Female,37,138,63,13,Tablet,West,2,Occasional Buyers
48,Male,33,69,33,5,Mobile,South,3,Loyal Customers
49,Male,21,117,7,6,Desktop,East,2,Occasional Buyers
50,Male,33,30,12,11,Tablet,West,3,Loyal Customers
51,Female,54,57,82,9,Tablet,West,0,Budget Shoppers
52,Female,23,112,55,7,Tablet,North,2,Occasional Buyers
53,Female,23,15,36,11,Tablet,West,3,Loyal Customers
54,Female,64,114,6,14,Desktop,East,1,High Spenders
55,Male,49,82,1,9,Mobile,West,1,High Spenders
56,Female,22,131,43,6,Mobile,South,2,Occasional Buyers
57,Female,52,88,99,1,Tablet,West,0,Budget Shoppers
58,Male,26,123,17,2,Desktop,South,2,Occasional Buyers
59,Female,26,139,82,15,Mobile,North,2,Occasional Buyers
60,Male,60,54,34,5,Mobile,West,0,Budget Shoppers
61,Male,48,63,21,3,Mobile,North,3,Loyal Customers
62,Male,53,90,95,10,Mobile,North,0,Budget Shoppers
63,Male,28,70,57,5,Mobile,West,3,Loyal Customers
64,Female,34,29,71,1,Mobile,South,3,Loyal Customers
65,Female,51,30,91,2,Desktop,West,0,Budget Shoppers
66,Female,56,95,55,10,Tablet,South,0,Budget Shoppers
67,Male,45,29,72,7,Mobile,North,0,Budget Shoppers
68,Female,31,27,2,6,Desktop,East,3,Loyal Customers
69,Male,52,137,15,12,Desktop,West,2,Occasional Buyers
70,Male,64,143,10,13,Tablet,East,1,High Spenders
71,Male,62,150,89,6,Tablet,South,0,Budget Shoppers
72,Female,30,55,20,7,Mobile,West,3,Loyal Customers
73,Female,63,29,70,10,Tablet,East,0,Budget Shoppers
74,Female,37,145,5,9,Tablet,East,2,Occasional Buyers
75,Male,43,35,48,2,Desktop,West,3,Loyal Customers
76,Male,60,62,75,7,Desktop,East,0,Budget Shoppers
77,Female,59,32,71,15,Desktop,West,0,Budget Shoppers
78,Male,41,32,19,10,Mobile,East,3,Loyal Customers
79,Female,46,75,56,4,Mobile,North,0,Budget Shoppers
80,Female,51,118,17,5,Tablet,West,2,Occasional Buyers
81,Female,46,45,6,1,Tablet,North,3,Loyal Customers
82,Male,25,78,40,12,Mobile,North,2,Occasional Buyers
83,Female,33,25,47,7,Mobile,East,3,Loyal Customers
84,Male,32,35,6,1,Desktop,South,3,Loyal Customers
85,Male,22,122,46,9,Mobile,North,2,Occasional Buyers
86,Female,39,148,27,15,Mobile,North,2,Occasional Buyers
87,Female,19,95,88,13,Tablet,North,2,Occasional Buyers
88,Female,55,81,32,9,Tablet,South,0,Budget Shoppers
89,Female,53,67,86,11,Desktop,South,0,Budget Shoppers
90,Male,32,95,14,12,Mobile,North,2,Occasional Buyers
91,Male,55,76,46,12,Tablet,South,0,Budget Shoppers
92,Female,32,82,100,12,Mobile,South,0,Budget Shoppers
93,Male,18,116,72,11,Mobile,South,2,Occasional Buyers
94,Male,22,48,53,4,Desktop,West,3,Loyal Customers
95,Male,63,91,80,6,Mobile,North,0,Budget Shoppers
96,Male,58,132,96,7,Desktop,South,0,Budget Shoppers
97,Male,21,95,20,2,Tablet,West,3,Loyal Customers
98,Female,32,33,31,11,Tablet,East,3,Loyal Customers
99,Male,22,17,21,15,Tablet,East,3,Loyal Customers
100,Female,20,132,23,6,Tablet,South,2,Occasional Buyers
