CustomerID,Gender,Age,AnnualIncome(k$),SpendingScore(1-100),ShoppingFrequency(per month),PreferredDevice,Region
1,Male,42,99,80,15,Tablet,East
2,Male,56,33,73,7,Desktop,West
3,Female,47,146,13,1,Tablet,West
4,Male,51,75,10,3,Mobile,West
5,Male,34,86,69,12,Tablet,South
6,Male,53,139,28,15,Desktop,West
7,Male,18,69,65,6,Tablet,West
8,Male,61,48,34,13,Desktop,East
9,Female,64,136,17,15,Tablet,South
10,Male,25,77,45,7,Desktop,East
11,Male,61,136,9,13,Desktop,West
12,Male,52,119,32,11,Desktop,South
13,Male,35,63,48,14,Tablet,East
14,Male,59,39,37,12,Desktop,West
15,Male,39,39,21,13,Tablet,North
16,Male,25,125,57,4,Mobile,East
17,Female,36,105,70,5,Mobile,South
18,Male,45,123,91,3,Desktop,East
19,Female,28,120,39,13,Tablet,East
20,Female,47,134,79,12,Desktop,East
21,Male,18,28,84,2,Tablet,North
22,Male,64,40,68,7,Tablet,South
23,Female,64,30,2,14,Mobile,South
24,Female,34,118,86,1,Tablet,South
25,Female,50,101,71,14,Tablet,West
26,Male,29,42,39,8,Desktop,South
27,Male,50,78,85,4,Desktop,South
28,Female,24,64,14,4,Tablet,North
29,Male,58,63,18,14,Mobile,West
30,Male,37,129,34,15,Desktop,West
31,Female,58,50,15,8,Desktop,East
32,Male,50,123,14,6,Mobile,West
33,Female,56,61,96,5,Desktop,West
34,Female,30,86,71,14,Tablet,North
35,Female,27,133,20,13,Tablet,South
36,Male,41,78,35,14,Tablet,West
37,Female,28,34,37,4,Desktop,West
38,Male,52,128,78,4,Desktop,North
39,Female,51,40,27,1,Desktop,West
40,Male,18,27,92,11,Desktop,West
41,Female,56,18,44,4,Tablet,North
42,Female,38,38,27,7,Mobile,East
43,Male,49,75,88,6,Tablet,East
44,Male,19,57,82,5,Desktop,West
45,Male,25,119,34,14,Tablet,West
46,Male,41,139,65,2,Mobile,South
47,Female,37,138,63,13,Tablet,West
48,Male,33,69,33,5,Mobile,South
49,Male,21,117,7,6,Desktop,East
50,Male,33,30,12,11,Tablet,West
51,Female,54,57,82,9,Tablet,West
52,Female,23,112,55,7,Tablet,North
53,Female,23,15,36,11,Tablet,West
54,Female,64,114,6,14,Desktop,East
55,Male,49,82,1,9,Mobile,West
56,Female,22,131,43,6,Mobile,South
57,Female,52,88,99,1,Tablet,West
58,Male,26,123,17,2,Desktop,South
59,Female,26,139,82,15,Mobile,North
60,Male,60,54,34,5,Mobile,West
61,Male,48,63,21,3,Mobile,North
62,Male,53,90,95,10,Mobile,North
63,Male,28,70,57,5,Mobile,West
64,Female,34,29,71,1,Mobile,South
65,Female,51,30,91,2,Desktop,West
66,Female,56,95,55,10,Tablet,South
67,Male,45,29,72,7,Mobile,North
68,Female,31,27,2,6,Desktop,East
69,Male,52,137,15,12,Desktop,West
70,Male,64,143,10,13,Tablet,East
71,Male,62,150,89,6,Tablet,South
72,Female,30,55,20,7,Mobile,West
73,Female,63,29,70,10,Tablet,East
74,Female,37,145,5,9,Tablet,East
75,Male,43,35,48,2,Desktop,West
76,Male,60,62,75,7,Desktop,East
77,Female,59,32,71,15,Desktop,West
78,Male,41,32,19,10,Mobile,East
79,Female,46,75,56,4,Mobile,North
80,Female,51,118,17,5,Tablet,West
81,Female,46,45,6,1,Tablet,North
82,Male,25,78,40,12,Mobile,North
83,Female,33,25,47,7,Mobile,East
84,Male,32,35,6,1,Desktop,South
85,Male,22,122,46,9,Mobile,North
86,Female,39,148,27,15,Mobile,North
87,Female,19,95,88,13,Tablet,North
88,Female,55,81,32,9,Tablet,South
89,Female,53,67,86,11,Desktop,South
90,Male,32,95,14,12,Mobile,North
91,Male,55,76,46,12,Tablet,South
92,Female,32,82,100,12,Mobile,South
93,Male,18,116,72,11,Mobile,South
94,Male,22,48,53,4,Desktop,West
95,Male,63,91,80,6,Mobile,North
96,Male,58,132,96,7,Desktop,South
97,Male,21,95,20,2,Tablet,West
98,Female,32,33,31,11,Tablet,East
99,Male,22,17,21,15,Tablet,East
100,Female,20,132,23,6,Tablet,South
